,Note,Auteur,Genre,Nombre de saisons,Plateforme,Durée,Date de sortie
Mawaru Penguindrum,7.9,"Anime de   Kunihiko Ikuhara,   Shōko Nakamura et   Lily Hoshino","Fantastique, romance, animation",1 saison(terminée),MBS,25 min,3 juillet 2011
Luck,6.7,Série de   David Milch,Drame,1 saison(arrêtée),HBO,1 h,11 décembre 2011
J'irai dormir en Amérique,7.8,Série de   Antoine de Maximy,Documentaire,1 saison(arrêté),France 5,26 min,19 décembre 2011
Soda,3.2,"Série de   Franck Bellocq,   David Soussan,   Kev Adams...",Comédie et comédie,3 saisons(terminée),W9,3 min,4 juillet 2011
Mad Dogs,6.8,Série de   Cris Cole,"Comédie, policier et drame",4 saisons(terminée),Sky1,45 min,10 février 2011
Grand Hôtel,7.3,Série de   Ramón Campos,Policier et drame,3 saisons(terminée),Antena 3,1 h 15 min,4 octobre 2011
Game Theory,6.9,Émission Web de   Matthew Patrick,Comédie et documentaire,(en cours),YouTube,15 min,18 avril 2011
Enlightened : illuminée,6.7,Série de   Mike White et   Laura Dern,Comédie dramatique,2 saisons(arrêtée),HBO,30 min,10 octobre 2011
Sacred Seven,5.4,Anime de   Hajime Yatate,Animation et science-fiction,1 saison(terminée),MBS,25 min,3 juillet 2011
Deadman Wonderland,6.3,Anime de   Koichi Hatsumi,"Science-fiction, action, animation",1 saison(terminée),tvk,25 min,17 avril 2011
Le Petit journal,6.0,Émission TV de   Yann Barthès,Comédie,12 saisons(terminée),Canal+,18 min,29 août 2011
Bob's Burgers,6.9,Série de   Loren Bouchard,Animation et comédie,11 saisons(en cours),FOX (US),25 min,9 janvier 2011
Planète Dinosaures,7.9,Série de   Nigel Paterson,Documentaire,1 saison(terminée),BBC One,49 min,14 septembre 2011
City Hunter,7.3,Drama de   Jin Hyeok,"Thriller, drame et action",1 saison(terminée),SBS (KR),1 h 05 min,25 mai 2011
XIII : La Série,5.0,Série de   Duane Clark,"Thriller, action et policier",2 saisons(terminée),Showcase (CA),40 min,18 avril 2011
Nichijou: My Ordinary Life,8.0,Anime de   Keiichi Arawi et   Tatsuya Ishihara,"Fantastique, animation et comédie",1 saison(terminée),TV Aichi,25 min,2 avril 2011
Workaholics,6.8,"Série de   Dominic Russo,   Kyle Newacheck,   Connor Pritchard...",Comédie,7 saisons(terminée),Comedy Central (US),25 min,6 avril 2011
Bakuman 2,7.6,Anime de   Kasai Ken'ichi et   Tsugumi Ōba,"Drame, shōnen, comédie",1 saison(en cours),AnimeDigitalNetwork,25 min,1 octobre 2011
The Secret Circle,5.1,Série de   Elizabeth Craft et   Sarah Fain,"Fantastique, Épouvante-horreur et drame",1 saison(terminée),The CW,45 min,15 septembre 2011
Julfou,6.5,Websérie de   Julien Josselin (Julfou),Comédie et mini-série,3 min,12 juillet 2011,Inconnu,Inconnu
Fresh Meat,6.8,Série de   Sam Bain et   Jesse Armstrong,Comédie et drame,4 saisons(terminée),Channel 4,50 min,21 septembre 2011
Gosick,7.0,"Anime de   Kazuki Sakuraba,   Hitoshi Nanba et   Hinata Takeda","Fantastique, policier, romance",1 saison(terminée),TV Tokyo,25 min,7 janvier 2011
Unforgettable,5.0,Série de   John Bellucci et   Ed Redlich,Policier et drame,4 saisons(terminée),A&E,45 min,20 septembre 2011
Ringer,5.5,Série de   Eric C. Charmelo et   Nicole Snyder,"Thriller, policier et drame",1 saison(terminée),The CW,45 min,13 septembre 2011
Monroe,7.0,Série de   Peter Bowker,Drame et médical,2 saisons(terminée),ITV,1 h,10 mars 2011
The Walking Dead : Webepisodes - Torn Apart,6.7,Websérie de   Greg Nicotero,Épouvante-horreur et drame,1 saison(terminée),3 octobre 2011,Inconnu,Inconnu
The Fades,6.8,Série de   Jack Thorne,"Fantastique, drame, fantasy",1 saison(terminée),BBC Three,55 min,21 septembre 2011
Gintama 2,8.7,Anime de   Hideaki Sorachi et   Yoichi Fujita,"Comédie, action, animation",1 saison(terminée),25 min,4 avril 2011,Inconnu
Natoo,5.1,Émission Web de   Nathalie Odzierejko (Natoo),Comédie et mini-série,(en cours),YouTube,5 min,10 mars 2011
Hourou Musuko,7.5,Anime de   Takako Shimura et   Aoki Ei,"Romance, seinen, animation",1 saison(terminée),Fuji TV,25 min,14 janvier 2011
Prohibition,7.8,Série de   Ken Burns et   Lynn Novick,Documentaire,1 saison(terminée),PBS,2 h,26 juin 2011
Salut les geeks,6.2,Émission Web de   Mathieu Sommet,Comédie,6 saisons(terminée),YouTube,5 min,11 mars 2011
Looney Tunes Show,6.6,Dessin animé de   Spike Brandt et   Tony Cervone,"Comédie, jeunesse et animation",(terminée),Cartoon Network,25 min,3 mai 2011
Scarlet Heart,7.6,Série,Drame,2 saisons(terminée),Hunan TV,45 min,10 septembre 2011
Kaiji: Against All Rules,7.9,Anime de   Yûzô Satô et   Nobuyuki Fukumoto,Thriller et seinen,1 saison(terminée),NTV (JP),25 min,6 avril 2011
Les Bracelets rouges (ES),7.5,Série de   Albert Espinosa Puig et   Albert Espinosa,Jeunesse et drame,2 saisons(terminée),TV3 (ES),45 min,24 janvier 2011
Toy Story Toons,6.9,"Dessin animé de   Angus MacLane,   Gary Rydstrom et   Mark A. Walsh",Animation,(terminée),ABC (US),7 min,24 juin 2011
Breakout Kings,5.7,Série de   Nick Santora et   Matt Olmstead,"Thriller, policier, drame",2 saisons(terminée),A&E,45 min,6 mars 2011
The Kennedys,6.3,Série de   Jon Cassar,"Historique, biopic et drame",1 saison(terminée),ReelzChannel,45 min,3 avril 2011
Yuru Yuri,6.2,"Anime de   Masahiko Ohta,   Nakajima Chiaki et   Namori",Animation et comédie,3 saisons(terminée),TV Tokyo,25 min,5 juillet 2011
La Maison sur le Lac,4.9,Série de   Mick Garris,"Fantastique, mini-série et drame",1 saison(terminée),A&E,1 h 20 min,11 décembre 2011
Face Off,7.1,Émission TV,Télé-réalité et documentaire,7 saisons(terminée),SyFy,45 min,26 janvier 2011
Scent of a Woman,7.3,Série de   Park Hyung-Ki et   No Ji-Sul,Drame,1 saison(terminée),SBS (KR),1 h 05 min,23 juillet 2011
Plastic Nee-san,6.9,"Anime de   Kurii Cha,   Sumie Kinoshita et   Tsutomu Mizushima","Animation, comédie et seinen",1 saison(terminée),2 min,16 mai 2011,Inconnu
Un drôle de père,8.2,Anime de   Kamei Kanta et   Yumi Unita,"Comédie, animation et drame",1 saison(terminée),Fuji TV,25 min,8 juillet 2011
Outcasts,6.0,Série de   Ben Richards,Drame et science-fiction,1 saison(terminée),BBC One,1 h,7 février 2011
Les Revenants,6.8,Série de   Fabrice Gobert,"Fantastique, thriller, Épouvante-horreur",2 saisons(terminée),Canal+,50 min,26 novembre 2012
Real Humans,7.4,Série de   Lars Lundström,Thriller et drame,2 saisons(terminée),SVT,1 h,22 janvier 2012
The Newsroom,7.4,Série de   Aaron Sorkin,Drame,3 saisons(terminée),HBO,55 min,24 juin 2012
Arrow,5.4,"Série de   Greg Berlanti,   Andrew Kreisberg et   Marc Guggenheim","Action, aventure, policier",8 saisons(terminée),The CW,40 min,10 octobre 2012
Girls,6.5,Série de   Lena Dunham,Comédie dramatique,6 saisons(terminée),HBO,30 min,15 avril 2012
Elementary,6.1,Série de   Robert Doherty,"Policier, drame et thriller",7 saisons(terminée),CBS,45 min,27 septembre 2012
Souvenirs de Gravity Falls,8.1,Dessin animé de   Alex Hirsch,"Fantastique, comédie, animation",2 saisons(terminée),Disney XD,25 min,15 juin 2012
Psycho-Pass,7.7,"Anime de   Katsuyuki Motohiro,   Naoyoshi Shiotani et   Akira Amano","Science-fiction, action, animation",1 saison(terminée),Fuji TV,25 min,12 octobre 2012
Veep,6.9,Série de   Armando Iannucci,Comédie,7 saisons(terminée),HBO,30 min,22 avril 2012
La Légende de Korra,7.4,Dessin animé de   Michael Dante DiMartino et   Bryan Konietzko,"Action, animation, drame",4 saisons(terminée),Nickelodeon,25 min,14 avril 2012
Scandal,6.2,Série de   Shonda Rhimes,Drame,7 saisons(terminée),ABC (US),45 min,5 avril 2012
Continuum,6.2,Série de   Simon Barry,"Science-fiction, thriller, drame",4 saisons(terminée),Showcase (CA),45 min,27 mai 2012
A Young Doctor's Notebook,7.2,Série de   Alex Hardcastle,Comédie et drame,2 saisons(terminée),Sky Arts,23 min,6 décembre 2012
Jojo's Bizarre Adventure,7.6,"Anime de   Naokatsu Tsuda,   Kenichi Suzuki,   Hirohiko Araki...","Fantastique, aventure, action",1 saison(terminée),Tokyo MX,24 min,6 octobre 2012
Don't Trust the B---- in Apartment 23,6.3,Série de   Nahnatchka Khan,Comédie,2 saisons(terminée),ABC (US),25 min,11 avril 2012
Sword Art Online,6.3,Anime de   Reki Kawahara et   Tomohiko Itou,"Animation, aventure, science-fiction",1 saison(terminée),Tokyo MX,25 min,8 juillet 2012
Derek,7.6,Série de   Ricky Gervais,Comédie et drame,3 saisons(terminée),Channel 4,24 min,12 avril 2012
Revolution,4.7,Série de   Eric Kripke,Drame et action,2 saisons(terminée),NBC,45 min,17 septembre 2012
Kids on the Slope,7.6,Anime de   Shinichirô Watanabe,"Musique, animation et drame",1 saison(terminée),Fuji TV,25 min,7 avril 2012
Touch,5.9,Série de   Tim Kring,Science-fiction et drame,2 saisons(terminée),FOX (US),45 min,25 janvier 2012
Awake,6.6,Série de   Kyle Killen,Fantastique et drame,1 saison(terminée),NBC,45 min,1 mars 2012
Le Fossoyeur de films,7.6,Émission Web de   François Theurel,Mini-série et documentaire,(en cours),YouTube,30 min,15 octobre 2012
Kaboul Kitchen,7.0,"Série de   Jean-Patrick Benes,   Allan Mauduit et   Marc Victor",Comédie,3 saisons(terminée),Canal+,25 min,13 février 2012
Silex and the City,6.5,Dessin animé de   Julien Berjeaut (Jul),Comédie et animation,5 saisons(terminée),Arte,5 min,3 septembre 2012
Lilyhammer,6.9,Série de   Anne Bjørnstad et   Eilif Skodvin,"Comédie, policier et drame",3 saisons(terminée),NRK1,45 min,25 janvier 2012
From the New World,7.9,"Anime de   YORI,   Yusuke Kishi et   Masashi Ishihama","Fantastique, drame, animation",1 saison(terminée),TV Asahi,25 min,29 septembre 2012
Hatfields & McCoys,7.3,Série de   Ted Mann,"Drame, mini-série, télé-réalité",1 saison(terminée),History,1 h 40 min,28 mai 2012
Hit and Miss,7.1,Série de   Paul Abbott,Drame,1 saison(terminée),Sky1,45 min,22 mai 2012
Last Resort,5.3,Série de   Shawn Ryan et   Karl Gajdusek,"Action, guerre et drame",1 saison(terminée),ABC (US),45 min,8 octobre 2012
Go on,6.2,Série de   Scott Silveri,Comédie,1 saison(terminée),NBC,25 min,8 août 2012
Chicago Fire,6.3,Série de   Michael Brandt et   Derek Haas,Action et drame,9 saisons(en cours),NBC,42 min,10 octobre 2012
The River,5.7,Série de   Michael R. Perry et   Oren Peli,"Aventure, drame, Épouvante-horreur",1 saison(terminée),ABC (US),45 min,24 janvier 2012
What the Cut?!,7.2,Émission Web de   Antoine Daniel,Comédie,1 saison(en cours),YouTube,10 min,1 mars 2012
Another,6.4,Anime de   Tsutomu Mizushima et   Yukito Ayatsuji,"Épouvante-horreur, animation, action",1 saison(terminée),Tokyo MX,20 min,10 janvier 2012
Les Opérateurs,7.1,Websérie de   Slimane-Baptiste Berhoun et   François Descraques,Comédie,1 saison(terminée),France 4,6 min,13 octobre 2012
Perception,5.9,Série de   Kenneth Biller et   Michael Sussman,Policier et drame,3 saisons(terminée),TNT (US),45 min,9 juillet 2012
Battlestar Galactica: Blood & Chrome,6.4,Websérie de   Michael Taylor et   David Eick,Science-fiction,1 saison(terminée),SyFy,10 min,9 novembre 2012
Lupin III : Une femme nommée Fujiko Mine,7.8,Anime de   Sayo Yamamoto,"Thriller, policier, action",1 saison(terminée),NTV (JP),25 min,5 avril 2012
Alcatraz,5.1,"Série de   Elizabeth Sarnoff,   Steven Lilien et   Bryan Wynbrandt","Science-fiction, policier, drame",1 saison(terminée),FOX (US),45 min,16 janvier 2012
The Mindy Project,6.4,Série de   Mindy Kaling,Comédie,6 saisons(terminée),Hulu,25 min,25 septembre 2012
666 Park Avenue,5.2,Série de   David Wilcox,"Fantastique, thriller et drame",1 saison(terminée),ABC (US),45 min,30 septembre 2012
Ainsi soient-ils,6.7,"Série de   Bruno Nahon,   Vincent Poymiro,   David Elkaim...",Drame,3 saisons(terminée),Arte,50 min,11 octobre 2012
Nashville,6.0,Série de   Callie Khouri,Drame,6 saisons(terminée),CMT,45 min,10 octobre 2012
Kuroko No Basket,7.1,Anime de   Shunsuke Tada,"Animation, comédie, shōnen",1 saison(terminée),MBS,25 min,8 avril 2012
Papy Grenier,7.0,Émission Web de   Sébastien Rassiat et   Frédéric Molas,Comédie,1 saison(en cours),YouTube,7 min,13 septembre 2012
Uchuu Senkan Yamato 2199,7.9,"Anime (OAV) de   Leiji Matsumoto,   Yoshinobu Nishizaki et   Yutaka Izubuchi","Animation, romance, guerre",1 saison(terminée),MBS,25 min,6 avril 2012
Smash,6.0,Série de   Theresa Rebeck,Drame,2 saisons(terminée),NBC,45 min,6 février 2012
Ultimate Spider-Man,5.8,Série de   Paul Dini et   Brian Michael Bendis,"Action, aventure, animation",4 saisons(terminée),Disney XD,25 min,1 avril 2012
The Finder,5.9,Série de   Hart Hanson,"Comédie, policier et drame",1 saison(terminée),FOX (US),45 min,12 janvier 2012
Ripper Street,7.2,Série de   Richard Warlow,Drame,5 saisons(terminée),Prime Video,1 h,30 décembre 2012
Hunted,6.3,Série de   Frank Spotnitz,"Thriller, drame et action",1 saison(terminée),BBC One,1 h,4 octobre 2012
Space Brothers,7.9,Anime de   Ayumu Watanabe,"Science-fiction, comédie et seinen",1 saison(terminée),NTV (JP),25 min,1 avril 2012
WorkinGirls,6.4,Série de   Sylvain Fusée,Comédie,4 saisons(en cours),Canal+,15 min,19 avril 2012
The Neighbors,6.3,Série de   Dan Fogelman,Science-fiction et comédie,2 saisons(terminée),ABC (US),25 min,26 septembre 2012
Secret State,7.3,Série de   Robert Jones,Drame et mini-série,1 saison(terminée),Channel 4,45 min,7 novembre 2012
Tron : La Révolte,7.0,Dessin animé de   Steven Lisberger et   Bonnie MacBird,"Action, aventure, animation",1 saison(terminée),Disney XD,25 min,18 mai 2012
Palmashow l'émission,7.2,Série de   Grégoire Ludig et   David Marsais,Comédie,1 saison(terminée),D8,20 min,2 décembre 2012
"Love, Chunibyo & Other Delusions!",6.9,"Anime de   Tatsuya Ishihara,   Torako,   Nozomi Ousaka...","Animation, seinen, romance",2 saisons(terminée),Tokyo Broadcasting System,25 min,4 octobre 2012
Shokuzai,7.6,Série de   Kiyoshi Kurosawa,Drame,1 saison(terminée),WOWOW,1 h,8 janvier 2012
Inquisitio,6.2,Série de   Nicolas Cuche,Drame,1 saison(terminée),France 2,50 min,4 juillet 2012
The New Normal,5.5,Série de   Ali Adler,Comédie,1 saison(terminée),NBC,25 min,10 septembre 2012
Humanity has Declined,7.4,"Anime de   Seiji Kishi,   Kyuuta Sakai,   Romeo Tanaka...","Fantastique, comédie et animation",1 saison(terminée),Tokyo MX,25 min,1 juillet 2012
L'après-séance,7.4,Émission Web de   François Theurel,Mini-série,(en cours),YouTube,10 min,21 décembre 2012
Hyouka,7.4,Anime de   Yonezawa Honobu,"Romance, drame, comédie",1 saison(terminée),CTC (JA),25 min,22 avril 2012
Parade's End,6.4,Série de   Tom Stoppard,"Mini-série, drame et action",1 saison(terminée),BBC Two,1 h,24 août 2012
Beauty and the Beast,4.4,Série de   Ron Koslow,"Policier, fantasy, romance",4 saisons(terminée),The CW,45 min,18 mai 2012
House of Lies,6.0,Série de   Matthew Carnahan,Comédie et drame,5 saisons(terminée),Showtime,30 min,8 janvier 2012
Hard Corner,6.7,Émission Web de   Benjamin Daniel (Benzaie),Comédie,(en cours),YouTube,6 min,28 janvier 2012
Nisemonogatari,7.2,"Anime de   Tomoyuki Itamura,   Akiyuki Shinbo et   Nishio Ishin (NisiOisiN)","Fantastique, comédie et animation",1 saison(terminée),23 min,8 janvier 2012,Inconnu
Btooom!,6.3,Anime,"Romance, science-fiction, action",1 saison(terminée),Tokyo MX,25 min,4 octobre 2012
Enquêtes codées,7.2,Série de   Andy De Emmony,Drame,2 saisons(terminée),ITV,45 min,6 septembre 2012
Baby Daddy,5.8,Série de   Daniel Berendsen,Comédie,6 saisons(terminée),Freeform,25 min,20 juin 2012
Kokoro Connect,7.0,"Anime de   Shin Oonuma,   Shiromizakana,   Shinya Kawamo...","Romance, animation, drame",1 saison(terminée),Tokyo MX,25 min,7 juillet 2012
Magic City,6.4,Série de   Mitch Glazer,Drame et thriller,2 saisons(arrêtée),Starz,55 min,30 mars 2012
Girls und Panzer,6.7,"Anime de   Tsutomu Mizushima,   Shimada Humikane et   Takeshi Nogami",Animation et comédie,1 saison(terminée),Tokyo MX,25 min,9 octobre 2012
House of Cards,7.6,Série de   Beau Willimon,Policier et drame,6 saisons(terminée),Netflix,52 min,1 février 2013
Hannibal,7.4,Série de   Bryan Fuller,"Épouvante-horreur, policier et drame",3 saisons(arrêtée),NBC,45 min,4 avril 2013
Vikings,7.5,Série de   Michael Hirst,Action et drame,6 saisons(en cours),Prime Video,45 min,3 mars 2013
Orange Is the New Black,7.1,Série de   Jenji Kohan,"Comédie, policier et drame",7 saisons(terminée),Netflix,1 h,11 juillet 2013
Utopia,7.9,Série de   Dennis Kelly,"Science-fiction, thriller et drame",2 saisons(terminée),Channel 4,1 h,15 janvier 2013
Peaky Blinders,8.0,Série de   Steven Knight,Policier et drame,6 saisons(en cours),BBC One,55 min,12 septembre 2013
Broadchurch,7.7,Série de   Chris Chibnall,"Policier, drame et aventure",3 saisons(terminée),ITV,45 min,24 février 2013
Rectify,7.5,Série de   Ray McKinnon,Drame,4 saisons(terminée),SundanceTV,45 min,22 avril 2013
Brooklyn Nine-Nine,7.5,Série de   Daniel J. Goor et   Michael Schur,"Action, comédie et policier",8 saisons(en cours),NBC,25 min,11 août 2013
Top of the Lake,7.3,Série de   Jane Campion,"Policier, drame et thriller",2 saisons(terminée),SundanceTV,57 min,18 mars 2013
Orphan Black,7.1,Série de   John Fawcett et   Graeme Manson,Drame et science-fiction,5 saisons(terminée),BBC America,45 min,30 mars 2013
Masters of Sex,7.0,Série de   Michelle Ashford,Romance et drame,4 saisons(terminée),Showtime,1 h,29 septembre 2013
The Americans,7.3,Série de   Joseph Weisberg,"Thriller, policier et drame",6 saisons(terminée),FX,48 min,30 janvier 2013
Rick et Morty,8.3,Dessin animé de   Dan Harmon et   Justin Roiland,"Aventure, animation, comédie",3 saisons(en cours),Adult Swim,25 min,2 décembre 2013
Under the Dome,5.0,Série de   Brian K. Vaughan,"Science-fiction, Épouvante-horreur et drame",3 saisons(terminée),CBS,45 min,24 juin 2013
L'Attaque des Titans,7.9,Anime de   Tetsurō Araki et   Hajime Isayama,"Animation, aventure, fantasy",(terminée),MBS,25 min,7 avril 2013
Banshee,7.0,Série de   David Schickler et   Jonathan Tropper,"Policier, drame et action",4 saisons(terminée),Cinemax,55 min,11 janvier 2013
Bates Motel,6.7,Série de   Anthony Cipriano,"Policier, drame, Épouvante-horreur",5 saisons(terminée),A&E,45 min,18 mars 2013
Marvel : Les Agents du S.H.I.E.L.D.,5.5,"Série de   Joss Whedon,   Jed Whedon et   Maurissa Tancharoen","Action, drame, science-fiction",7 saisons(terminée),ABC (US),43 min,24 septembre 2013
Blacklist,6.1,Série de   Jon Bokenkamp,"Action, policier et drame",8 saisons(en cours),NBC,43 min,10 septembre 2013
The Following,6.0,Série de   Kevin Williamson,"Thriller, policier et drame",3 saisons(terminée),FOX (US),45 min,21 janvier 2013
The Fall,7.4,Série de   Allan Cubitt,Thriller et drame,3 saisons(terminée),RTÉ One,1 h,12 mai 2013
In the Flesh,7.2,Série de   Dominic Mitchell,"Thriller, Épouvante-horreur et drame",2 saisons(terminée),BBC Three,1 h,17 mars 2013
Ray Donovan,6.9,Série de   Ann Biderman,Policier et drame,7 saisons(arrêtée),Showtime,55 min,30 juin 2013
Crossed,8.5,"Émission Web de   Gilles Stella,   Jérémy Morvan et   Karim Debbache",Mini-série,1 saison(terminée),jeuxvideo.com,10 min,6 février 2013
Journal d'une ado hors norme,7.6,Série de   Tom Bidwell,Comédie et drame,3 saisons(terminée),E4,1 h,14 janvier 2013
